DataSet,n_antibodies,rho,beta,replace_rate,selection_rate,k,KMeans_Silhouette,ClonalG_Media,ClonalG_Desvio,ClonalG_Melhor,ClonalG_Pior,Delta_Media_vs_KMeans
1,20,2.5,10,0.2,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,2.5,10,0.2,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
2,10,2.5,10,0.2,0.85,5,0.4185209488361204,0.4167393181905327,0.0,0.4167393181905327,0.4167393181905327,-0.0017816306455876
2,20,1.0,10,0.2,0.5,5,0.4185209488361204,0.4156455618267859,0.0,0.4156455618267859,0.4156455618267859,-0.0028753870093344
2,20,1.0,10,0.05,0.85,5,0.4185209488361204,0.414885610117455,0.0,0.414885610117455,0.414885610117455,-0.0036353387186653
2,20,2.5,10,0.05,0.85,5,0.4185209488361204,0.4144129210773686,0.0,0.4144129210773686,0.4144129210773686,-0.0041080277587517
2,20,1.0,10,0.05,0.5,5,0.4185209488361204,0.4116383338246821,0.0,0.4116383338246821,0.4116383338246821,-0.0068826150114382
2,10,2.5,10,0.05,0.85,5,0.4185209488361204,0.4069519127254577,0.0,0.4069519127254577,0.4069519127254577,-0.0115690361106626
2,20,1.0,10,0.2,0.85,5,0.4185209488361204,0.4057820477367136,0.0,0.4057820477367136,0.4057820477367136,-0.0127389010994067
2,10,1.0,10,0.2,0.85,5,0.4185209488361204,0.402316291920292,0.0,0.402316291920292,0.402316291920292,-0.0162046569158283
2,10,1.0,10,0.05,0.85,5,0.4185209488361204,0.3947102647894182,0.0,0.3947102647894182,0.3947102647894182,-0.0238106840467022
2,10,2.5,10,0.2,0.5,5,0.4185209488361204,0.378884730463437,0.0,0.378884730463437,0.378884730463437,-0.0396362183726833
2,20,2.5,10,0.05,0.5,5,0.4185209488361204,0.3772000835701837,0.0,0.3772000835701837,0.3772000835701837,-0.0413208652659367
2,10,2.5,10,0.05,0.5,5,0.4185209488361204,0.3769983721463292,0.0,0.3769983721463292,0.3769983721463292,-0.0415225766897911
2,20,2.5,10,0.2,0.5,5,0.4185209488361204,0.376595873609154,0.0,0.376595873609154,0.376595873609154,-0.0419250752269664
2,10,1.0,10,0.2,0.5,5,0.4185209488361204,0.3763873918296292,0.0,0.3763873918296292,0.3763873918296292,-0.0421335570064911
2,20,2.5,10,0.2,0.85,5,0.4185209488361204,0.3710124544426691,0.0,0.3710124544426691,0.3710124544426691,-0.0475084943934512
2,10,1.0,10,0.05,0.5,5,0.4185209488361204,0.2769138998909917,0.0,0.2769138998909917,0.2769138998909917,-0.1416070489451287
3,20,2.5,10,0.2,0.85,6,0.2220680731895319,0.2243763325869092,0.0,0.2243763325869092,0.2243763325869092,0.0023082593973772
3,10,2.5,10,0.05,0.85,6,0.2220680731895319,0.2233652630327985,0.0,0.2233652630327985,0.2233652630327985,0.0012971898432666
3,20,2.5,10,0.05,0.85,6,0.2220680731895319,0.2201767714860572,0.0,0.2201767714860572,0.2201767714860572,-0.0018913017034747
3,20,1.0,10,0.2,0.85,6,0.2220680731895319,0.2161136286958146,0.0,0.2161136286958146,0.2161136286958146,-0.0059544444937173
3,20,1.0,10,0.2,0.5,6,0.2220680731895319,0.2160189459952057,0.0,0.2160189459952057,0.2160189459952057,-0.0060491271943262
3,20,2.5,10,0.2,0.5,6,0.2220680731895319,0.215963358487888,0.0,0.215963358487888,0.215963358487888,-0.0061047147016438
